Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,11,Serious adverse events,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,391,2330,186,1571,1.141159,0.90746,1.435042,0.03441,9.031842,5,0.107801,44.640309,1.129397,0.258731,0.342145,1,0.558594,0.0,analysis:422175661630494848
1,12,"Clinical improvement: weaning or liberation from invasive mechanical ventilation in surviving participants, for subgroups of participants requiring invasive mechanical ventilation at baseline",Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,92,307,117,323,1.043517,0.565634,1.925146,0.151773,4.041684,1,0.04439,75.257839,0.13633,0.891561,,,,,analysis:423481129892146115
1,13,Clinical improvement: ventilator-free days by day 28,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,days,Random effect,true,true,true,false,95%,95%,,650,,378,-0.528019,-1.899166,0.843127,0.0,0.112958,1,0.736802,0.0,0.754769,0.450387,,,,,analysis:423486431109967682
1,14,"Clinical improvement: liberation from supplemental oxygen in surviving participants, for subgroup of participants requiring any supplemental oxygen or ventilator support at baseline",Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,284,356,161,204,0.989745,0.908524,1.078228,0.0,0.507276,1,0.476321,0.0,0.235942,0.813478,,,,,analysis:423486484517875717
1,15,Need for dialysis at up to 28 days,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,260,6321,247,6004,1.03036,0.862181,1.231344,,0.175141,1,0.675583,0.0,0.328951,0.742192,,,,,analysis:423486559044628616
1,16,Admission to the intensive care unit (ICU),Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,171,548,85,268,0.928237,0.774166,1.112971,0.0,0.748187,1,0.387051,0.0,0.804151,0.42131,,,,,analysis:422174765974097526
1,17,Duration of hospitalisation,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,days,Random effect,true,true,true,false,95%,95%,,49,,48,-1.040467,-6.869948,4.789014,16.956994,23.783803,1,1.0E-6,95.795458,0.349822,0.726473,,,,,analysis:423486552908886151
1,18,Viral clearance at up to day 3,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,147,314,115,305,1.288321,0.760616,2.18214,0.184482,13.938933,2,9.4E-4,85.6517,0.942255,0.346062,,,,,analysis:418886326384636213
1,19,Viral clearance at up to day 7,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,208,344,163,330,1.235677,0.851504,1.793178,0.107657,15.321886,3,0.001561,80.420165,1.113852,0.265343,,,,,analysis:422174810198576774
1,20,Viral clearance at up to day 14,Convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,84,109,61,103,1.462768,0.58201,3.676377,0.413881,15.327795,1,9.0E-5,93.475905,0.80885,0.418602,,,,,analysis:422174813815377544
2,1,All-cause mortality at up to day 28,Convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,43,286,35,198,0.72865,0.447893,1.185396,0.041996,3.56097,3,0.31294,15.753298,1.27497,0.20232,0.077052,1,0.781333,0.0,analysis:423502681754859764
2,2,All-cause mortality (time to event),Convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Contrast level,true,,,,,,,,,IV,Hazard Ratio,,Random effect,true,true,true,false,95%,95%,,286,,198,0.935702,0.408988,2.140747,0.32714,5.733384,3,0.125327,47.674884,0.157387,0.87494,,,,,analysis:423502670462219979
2,3,Clinical worsening: need for invasive mechanical ventilation or death at up to day 28,Convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,2,16,0,18,5.588235,0.288126,108.384467,0.0,0.0,0,1.0,0.0,1.137408,0.255368,,,,,analysis:430486369174213814
2,4,Duration of hospitalisation,Convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,days,Random effect,true,true,true,false,95%,95%,,77,,110,-2.144063,-5.239625,0.951499,2.647618,2.070877,1,0.150135,51.711285,1.35752,0.174616,,,,,analysis:423502671170795653
2,5,Any grade adverse events,Convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,98,163,41,90,1.183584,0.934231,1.499491,0.0,0.307075,1,0.579481,0.0,1.39635,0.162609,,,,,analysis:423502671010887711
2,6,Serious adverse events,Convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,57,222,31,105,0.79532,0.5496,1.150897,0.0,1.202275,2,0.548188,0.0,1.214586,0.224524,0.0,0,1.0,0.0,analysis:423502671092938835
3,1,All-cause mortality at up to day 28,Convalescent plasma versus human immunoglobulin for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,60,130,26,60,1.065089,0.755223,1.502092,0.0,0.0,0,1.0,0.0,0.359487,0.719231,,,,,analysis:431389066895556687
3,2,All-cause mortality (time to event),Convalescent plasma versus human immunoglobulin for individuals with moderate to severe disease,Custom input,"#N/A",Contrast level,true,,,,,,,,,IV,Hazard Ratio,,Random effect,true,true,true,false,95%,95%,,130,,60,1.14,0.844693,1.538546,0.0,0.0,0,1.0,0.0,0.856577,0.391679,,,,,analysis:431392035197689406
3,3,All-cause mortality during hospital stay,Convalescent plasma versus human immunoglobulin for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,70,130,32,60,1.009615,0.759079,1.342842,0.0,0.0,0,1.0,0.0,0.065759,0.947569,,,,,analysis:431596309051151575
4,1,All-cause mortality at up to day 28,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,2,268,6,268,0.358849,0.088224,1.459606,,0.643951,1,0.422284,0.0,1.43168,0.152235,,,,,analysis:422174060562678812
4,2,All-cause mortality at up to day 60,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,0,188,2,188,0.134613,0.008389,2.160119,,0.0,0,1.0,0.0,1.416103,0.156745,,,,,analysis:423510603500682600
4,3,Admission to hospital or death within 28 days,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,22,188,21,188,1.047619,0.596774,1.839063,0.0,0.0,0,1.0,0.0,0.162025,0.871286,,,,,analysis:430486467768145277
4,4,Time to symptom resolution,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Contrast level,true,,,,,,,,,IV,Hazard Ratio,,Random effect,true,true,true,false,95%,95%,,188,,188,1.05,0.849037,1.298529,0.0,0.0,0,0.0,100.0,0.45013,0.652617,,,,,analysis:430486585828365906
4,5,"Clinical worsening: need for hospitalisation with at least need of oxygen by mask or nasal prongs, or death",Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,34,268,44,268,0.759275,0.362463,1.590502,0.193906,3.136294,1,0.076568,68.115229,0.729953,0.465419,,,,,analysis:423556004738604182
4,6,Clinical worsening: need for invasive mechanical ventilation or death at up to day 28,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,2,188,4,188,0.508813,0.101595,2.548245,,0.0,0,1.0,0.0,0.821995,0.41108,,,,,analysis:431977526731026663
4,7,Clinical worsening: need for invasive mechanical ventilation or death at up to day 60,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,2,188,4,188,0.508813,0.101595,2.548245,,0.0,0,1.0,0.0,0.821995,0.41108,,,,,analysis:432019812531646141
4,8,Grades 3 and 4 adverse events,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,27,188,21,188,1.285714,0.754336,2.191413,0.0,0.0,0,1.0,0.0,0.923739,0.355622,,,,,analysis:422175694926715013
4,9,Serious adverse events,Convalescent plasma versus placebo or standard care alone for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,25,188,22,188,1.136364,0.664801,1.942418,0.0,0.0,0,1.0,0.0,0.467354,0.640246,,,,,analysis:423556155188813145
5,1,All-cause mortality at up to day 28,Convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,1,798,4,799,0.301864,0.052204,1.745502,,1.230872,1,0.267238,18.756783,1.337801,0.180961,,,,,analysis:430893108929239296
5,2,Admission to hospital or death within 28 days,Convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,28,797,58,798,0.485725,0.312978,0.753818,0.0,0.114473,1,0.735108,0.0,3.220222,0.001281,,,,,analysis:430893109069486445
5,3,All initial symptoms resolved (asymptomatic) at up to day 28,Convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,151,206,138,210,1.11545,0.981615,1.267531,0.0,0.0,0,1.0,0.0,1.675417,0.093852,,,,,analysis:432798103010297421
5,4,All initial symptoms resolved (asymptomatic) at up to day 14,Convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,105,207,106,210,1.004922,0.831303,1.214802,0.0,0.0,0,1.0,0.0,0.050737,0.959535,,,,,analysis:432798093484508746
5,5,"Clinical worsening: need for hospitalisation with need of at least oxygen by mask or nasal prongs, or death",Convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:430893109065292137
5,6,Clinical worsening: need for invasive mechanical ventilation or death at up to day 28,Convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,PETO,Peto Odds Ratio,,Fixed effect,true,true,true,false,95%,95%,1,205,4,209,0.303512,0.05213,1.767108,,0.0,0,1.0,0.0,1.326537,0.184662,,,,,analysis:432797816238917111
6,1,All-cause mortality at up to day 28 (random-effects analysis),Subgroup analysis: antibodies in recipients detected at baseline for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:423730413317581470
6,2,All-cause mortality (time to event),Subgroup analysis: antibodies in recipients detected at baseline for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Contrast level,true,,,,,,,,,IV,Hazard Ratio,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:430804976834801390
6,3,Clinical worsening: need for invasive mechanical ventilation or death (random-effects model),Subgroup analysis: antibodies in recipients detected at baseline for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,1399,5043,1239,4429,0.982264,0.861782,1.119591,0.007631,6.68639,3,0.082595,55.13274,0.268022,0.788682,5.826589,1,0.015786,82.837299,analysis:430577096959252982
6,4,Clinical improvement: participants discharged from hospital,Subgroup analysis: antibodies in recipients detected at baseline for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,3401,5094,2999,4470,1.009283,0.942042,1.081323,0.001963,4.577615,1,0.032392,78.154561,0.262675,0.792801,4.338157,1,0.037267,76.948737,analysis:430804698167078527
7,1,All-cause mortality at up to day 28 (random-effects model),Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:423730341305576002
7,2,All-cause mortality (time to event) (random-effects model),Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Contrast level,true,,,,,,,,,IV,Hazard Ratio,,Random effect,true,true,true,false,95%,95%,,36,,71,0.81,0.423906,1.54775,0.0,0.0,0,1.0,0.0,0.637824,0.523588,0.0,0,1.0,0.0,analysis:431121333856788062
7,3,Clinical worsening: need for invasive mechanical ventilation or death (random-effects model),Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:430577023360227767
7,4,Clinical improvement: participants discharged from hospital,Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,3862,5832,3849,5805,1.001305,0.963816,1.040253,3.99E-4,4.023283,3,0.258961,25.434023,0.067005,0.946578,2.869766,1,0.090258,65.15395,analysis:430804639711063599
8,1,All-cause mortality at up to day 28 (random-effects analysis),Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus standard plasma for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:430940542293275651
9,1,All-cause mortality at up to day 28,Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,1,206,1,210,1.148564,0.126432,10.434074,0.0,0.672287,1,0.412256,0.0,0.123033,0.902081,0.670383,1,0.412918,0.0,analysis:432859037355769661
9,2,Admission to hospital or death within 28 days,Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,11,205,21,209,0.551511,0.272582,1.115866,0.0,0.898302,1,0.343238,0.0,1.65506,0.097912,0.897152,1,0.343547,0.0,analysis:432862914969126077
9,3,All initial symptoms resolved (asymptomatic) at up to day 28,Subgroup analysis: length of time since symptom onset for the comparison of convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,151,206,138,210,1.012409,0.646639,1.585075,0.061111,1.602585,1,0.205537,37.600829,0.053918,0.957001,1.595311,1,0.206569,37.316283,analysis:432863259295270702
10,1,All-cause mortality at up to day 28 (random-effects model),Subgroup analysis: pre-existing condition immunosuppression for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,407,1186,376,1024,0.68169,0.452034,1.028024,0.107311,13.43423,5,0.019632,62.781641,1.828106,0.067534,0.454173,1,0.50036,0.0,analysis:430777877685544482
10,2,Clinical improvement: participants discharged from hospital,Subgroup analysis: pre-existing condition immunosuppression for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,31,43,28,43,1.081693,0.829365,1.410791,0.0,0.240252,1,0.624024,0.0,0.579435,0.562295,0.210807,1,0.646135,0.0,analysis:432292880920350302
11,1,All-cause mortality at up to day 28,Subgroup analysis: pre-existing condition immunosuppression for the comparison of convalescent plasma vs. standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,1,206,1,210,1.019417,0.06419,16.189573,0.0,0.0,0,1.0,0.0,0.013631,0.989124,0.0,0,1.0,0.0,analysis:432859378319918470
11,2,Admission to hospital or death within 28 days,Subgroup analysis: pre-existing condition immunosuppression for the comparison of convalescent plasma vs. standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,11,205,21,209,0.53403,0.264243,1.079266,0.0,0.0,0,1.0,0.0,1.747468,0.080556,0.0,0,1.0,0.0,analysis:432862975265391872
11,3,All initial symptoms resolved (asymptomatic) at up to day 28,Subgroup analysis: pre-existing condition immunosuppression for the comparison of convalescent plasma vs. standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,151,206,138,210,1.11545,0.981615,1.267531,0.0,0.0,0,1.0,0.0,1.675417,0.093852,0.0,0,1.0,0.0,analysis:432863284383500120
12,1,All-cause mortality at up to day 28,Subgroup analysis: pre-existing condition diabetes for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,8,83,21,82,0.427022,0.169505,1.075765,0.15889,3.639219,3,0.30315,17.564738,1.805043,0.071068,0.096865,1,0.755625,0.0,analysis:430776116512225813
12,2,Clinical worsening: need for invasive mechanical ventilation or death,Subgroup analysis: pre-existing condition diabetes for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,199,614,86,307,1.154732,0.933299,1.428702,0.0,0.489476,1,0.484161,0.0,1.324466,0.185348,0.489296,1,0.484242,0.0,analysis:430577150643985359
12,3,Clinical improvement: participants discharged from hospital,Subgroup analysis: pre-existing condition diabetes for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,31,43,28,43,1.133668,0.854436,1.504153,0.0,0.19678,1,0.657333,0.0,0.869585,0.384527,0.194309,1,0.659354,0.0,analysis:432292416999130470
13,1,All-cause mortality at up to day 28,Subgroup analysis: pre-existing condition diabetes for the comparison of convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,1,205,1,209,1.563367,0.071733,34.07228,2.362093,1.914401,1,0.166475,47.764341,0.284197,0.776259,1.905437,1,0.167471,47.518594,analysis:432860264630622730
13,2,Admission to hospital or death within 28 days,Subgroup analysis: pre-existing condition diabetes for the comparison of convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,28,796,58,797,0.489965,0.315418,0.761104,0.0,2.13443,3,0.544979,0.0,3.174763,0.0015,0.05858,1,0.808754,0.0,analysis:432863015070123320
13,3,All initial symptoms resolved (asymptomatic) at up to day 28,Subgroup analysis: pre-existing condition diabetes for the comparison of convalescent plasma versus standard plasma for outpatients with mild disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,150,205,137,209,1.095762,0.878359,1.366974,0.009263,1.120768,1,0.289753,10.775461,0.810484,0.417662,1.108432,1,0.292423,9.782462,analysis:432863325837903741
14,1,All-cause mortality at up to day 28,Subgroup analysis: pre-existing condition respiratory disease for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,6,52,11,43,0.363705,0.040822,3.240467,1.627706,2.364904,1,0.124092,57.714991,0.906362,0.364744,2.210459,1,0.137078,54.76053,analysis:432159627014112500
14,2,Clinical worsening: need for invasive mechanical ventilation or death,Subgroup analysis: pre-existing condition respiratory disease for the comparison of convalescent plasma versus placebo or standard care alone for individuals with moderate to severe disease,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,199,614,86,307,1.158174,0.936377,1.432508,0.0,0.130918,1,0.717483,0.0,1.353876,0.175776,0.130917,1,0.717483,0.0,analysis:430577176711323454
